Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Business Start,Business End,Part of Terms,Type of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Reward Points Awards And Redemption,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"This service domain handles the allocation and redemption of rewards points for customer transaction activity. In order to determine the reward point transaction and apply associated costs the service domain will access reward point arrangement agreements with the customers, merchants and related rewards programs. Note that the interactions between reward programs can be quite complex when 3rd party reward programs are integrated with the bank's own reward programs",Service Domain,,,,,,,,,,,
ACH Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"This service domain handles the operational interface with an external automated clearing house (ACH) service. It handles the sending and receipt of batched transactions, servicing reporting and executes the schedule of service operations",Service Domain,,,,,,,,,,,
Card Clearing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"The behavior varies depending on the role of the participant bank/network. A card acquiring Bank consolidates all incoming transactions from Merchants, determining their routing, and transmitting to the respective Card Networks. For the Card Networks it receives and consolidates the transactions from all Acquiring Banks and to distribute and route them to the respective Card Issuing Banks. For the Card Issuing Banks it receives their cardholder transactions from the Card Networks and routes them to the instance of the Credit/Charge Card service domain which is responsible for the card used in the transaction. The transactions may include charges, refunds, and chargebacks.",Service Domain,,,,,,,,,,,
Card eCommerce Gateway,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"This service domain is used by the Card Acquiring bank to handle the authentication, authorization and submission of a Card payment from an e-commerce merchant. It supports the ""3-D"" Secure method of authentication which routes the authentication request to the Card Issuing Bank, which may use multi-factor authentication for the authentication of the Card and the Cardholder. It also handles the routing of the authorization request through the Card Transaction Switch service domain and the routing of the submitted charges to the Card Clearing service domain.",Service Domain,,,,,,,,,,,
Card Financial Settlement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"This service domain is used by the Card Network to initiate either gross or net settlement for the charges cleared during a specified period and to issue settlement instructions to the Issuing and Acquiring Banks. This requires the Card Network to issue settlement instructions to each Issuing Bank directing them to remit the total amounts corresponding to the cleared charges to designated bank accounts that are managed by the Card Network, which in turn makes the corresponding remittances to the designated bank accounts for the Card Issuers.
The service domain is also used by the Issuing and Acquiring banks to perform reconciliation of the settlement instructions against the cleared charges and to initiate remittances through the Payment Order service domain.",Service Domain,,,,,,,,,,,
Central Cash Handling,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Channel Management,This service domain is responsible for tracking the available cash inventory held centrally and distributed/collected throughout the branch/ATM network and making allocation/redistribution requests to ensure adequate float is available at all locations and that excess cash at any location is transferred to central secure locations as appropriate. Also coordinating with other banks and central banks to ensure sufficient cash is on hand to support the branch network requirements,Service Domain,,,,,,,,,,,
Cheque Processing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"This service domains handles the processing of paper checks, performing the necessary checks and extracting the transaction details required to create a payment transaction record stream. This includes MICR number processing and character recognition facilities",Service Domain,,,,,,,,,,,
Correspondent Bank Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,This Service Domain handles incoming and outgoing payment clearing and settlement messages to the bank's correspondent banking partners. The actual message transmission is delegated to the Financial Message Gateway service domain. Correspondent Bank administers the mirror accounting for interbank payments undertaking the underlying account reconciliation tasks.,Service Domain,,,,,,,,,,,
Financial Gateway,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels >> Channel Specific,"This service domain supports the operational connections with the range of financial networks that support interbank and financial institution connectivity. This includes SWIFT, ACH gateways, and market exchange/regulatory reporting connections. The service domain does not create content itself, it provides a message exchange service between (financial) institutions for various units within the bank. It may format messages and maintain and apply authentication and encryption keys to the transmitted messages and necessary. It also provides operational message recovery and retransmission facilities as appropriate",Service Domain,,,,,,,,,,,
Financial Message Analysis,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Channel Management,Track and analyze financial message traffic to identify anomalies and potential fraudulent activity,Service Domain,,,,,,,,,,,
Payment Execution,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,Payment Execution handles the back-end processing of a movement funds from a debtor account to a creditor account. Payments need to have been authorized and validated against customer/bank agreements before being instructed to Payment Execution. Payment Execution then determines whether debtor and creditor accounts are held within the bank and if not selects the appropriate payment mechanism/channel to use to complete the transfer. It is responsible for ensuring that both (or neither) sides of the exchange are completed successfully,Service Domain,,,,,,,,,,,
Payment Instruction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"The Payment Instruction Service Domain handles the initial assembly and verification of payment instructions that may be requested by third party payment service providers and/or bank customers that access external payment services. The Service Domain checks that any and all agreements are in place with respect to all interested parties and payment agencies, that the requested action is allowed and within any associated limits and that all required information is available and where possible/appropriate is validated/verified. Once the instruction has been assembled and all checks performed it is routed to the associated fulfillment Service Domain where the payment transaction can be initiated",Service Domain,,,,,,,,,,,
Payment Order,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,Payment Order handles the internal bank and compliance checks and processing of funds transfers prior to initiating the actual mechanics of transfer which is handled by the service domain Payment Execution. This includes watch-list and other regulatory checks and applying any counterparty specific limits and payment preferences. It may also oversee payment netting arrangements between the bank and other counterparties,Service Domain,,,,,,,,,,,
Payment Rail Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,"This Service Domain handles the operational interface with one or more external payment services or 'payment rails'. This includes formatting outbound messages and extracting and mapping inbound message content for internal processing during the scheduled operating sessions of the payment service. If the payment service fulfillment involves the store and forward of payments for clearing and settlement purposes, this Service Domain will interact with a paired Holding Account Service Domain to handle the underlying recording and movement of funds between the bank and service provider.",Service Domain,,,,,,,,,,,
Card Authorization,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"The proposed card transaction is requested by a merchant and routed through the Acquirer and Card Network to the Issuer. The authorization decision is automated and can be extremely complex. Transactions may be passed for manual checks by on-line service representatives for out of pattern purchases. Note that authorized transaction amounts may vary from the actual final amount (e.g. pre authorized hotel/car hire and charged meals excluding tips) and in cases there will be no financial transaction for an authorized transaction if the customer chooses to pay using a different card/cash. While this function is primarily performed by the Issuer, Acquirers and Card Networks may perform Stand-in Authorization and forward the results to the Issuer for recording.",Service Domain,,,,,,,,,,,
Card Capture,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,Capture the card payment transaction at the merchant/point of sale. This includes obtaining the authorization for the transaction by accessing the issuer's account through the card network. The authorized transactions are collected for subsequent batch reporting and settlement processing through the network,Service Domain,,,,,,,,,,,
Card Network Participant Facility,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"Cards issued by banks are affiliated with one of many international Card Networks, such as Visa, Master Card, Diners, American Express. This service domain is used by the Card Network for setting up Acquiring and Issuing Bank accounts and their terms and conditions.",Service Domain,,,,,,,,,,,
Credit Card,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"This service domain handles both credit and charge card fulfillment. The main functional difference being the different re-payment and credit handling structures of the two types of card product. Note that unlike a current accounts, card products are typically fulfilled through specialised credit card companies using a card network that links issuing banks and merchant acquiring banks for authorization, clearing and settlement activities.
Debit cards (i.e. devices to access a normal bank account) do not come under this Service Domain.",Service Domain,,,,,,,,,,,
Credit Card Position Keeping,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"The Credit Card Position Keeping Service Domain holds the transaction details for the complete life-cycle. This includes pre-authorization, authorization, top-up authorization, financial charge, tips and additional charges and charge-back related. This transaction log is maintained and referenced by card fulfilllment processing",Service Domain,,,,,,,,,,,
Merchant Acquiring Facility,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"This service domain is the primary service domain for handling the Merchant Account and the specific terms and conditions for the merchant. It includes opening the Merchant account, performing the required setup for card acceptance, such as assigning POS terminals, maintaining the accounts payable balances for the merchant, performing periodic settlement, and handling fees and charges. When Merchants submit card payment transactions, the Acquiring Bank is responsible for paying the Merchants in accordance with the terms of the Merchant agreement, which specify when the merchant should be paid and the amount that is withheld from the payment as merchant discount or service fees.",Service Domain,,,,,,,,,,,
Merchant Relations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Cards,"The bank's merchant relationships are governed by the terms and conditions maintained by this service domain. Note this covers the application of legal, regulatory and operational terms agreed with the merchant and does not cover any more general aspect of relationship management",Service Domain,,,,,,,,,,,
Bank Drafts,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Trade Banking,"This Service Domain handles the pricing and issuance of various forms of bank guaranteed payment vehicles, including bank drafts, wire transfers, certified checks and travelers checks. The transaction combines extracting the principal amount and fees from the buyer's account and creating and registering the physical bearer document using any suitable media and security mechanisms. The bank guaranteed funds are held on a holding account pending the deposit of the draft by the payee.",Service Domain,,,,,,,,,,,
Brokered Product,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Consumer Banking,"Administer 3rd party coordination for the production delivery of 'brokered' products and services that are offered through the bank, possibly in combination with the bank's own product and service offerings",Service Domain,,,,,,,,,,,
Consumer Advisory Services,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Advisory Services,"Provide consumer customers with financial advice, for product selection, investments, tax optimization etc. The time spent may incur a charge particularly when specialist financial advisory resources are engaged",Service Domain,,,,,,,,,,,
Consumer Investments,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers >> Investment Services,This supports consumer initiated securities investment and trading activity for their self-managed securities investments. Trades will typically be blocked/netted against the bank's own securities position for subsequent market execution. Quotes/prices are based on the prevailing price at the time of the customer instruction to trade,Service Domain,,,,,,,,,,,
Corporate Trust Services,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,Provide corporate trust services focused on the independent/fiduciary handling of a broad range of possible corporate debt instruments with investors and supporting escrow account arrangements as necessary,Service Domain,,,,,,,,,,,
Currency Exchange,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Consumer Banking,This is an over the counter service where currency is exchanged and the transaction uses preferential rates and can include transaction fees. Note in some cases travelers checks can be handled as a pseudo currency within this capability. Note that Branch and teller currency inventory tracking and distribution is administered by Branch Currency Management and Branch Currency Distribution service domains,Service Domain,,,,,,,,,,,
Customer Tax Handling,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,There are different tax tracking and reporting obligations for products and services in different locations and jurisdictions. This service domain handles the consolidation and reporting of tax related activity as necessary for a customer. Note that this service domain is only responsible for the consolidation and reporting of tax related activity - other service domains will be required to handle actual tax processing obligations as may apply for certain products and services,Service Domain,,,,,,,,,,,
Trust Services,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Consumer Banking,"Provide trust services for high value customers, including asset maintenance, court administration, tax and expense handling, asset management and estate, inheritance and income tax processing",Service Domain,,,,,,,,,,,
Corporate Finance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Advisory Services,Provides a broad range of fee or commission based specialized financing advisory services (both tactical and strategic in nature). Assignments will typically be packaged into scoped projects with defined outcomes that support institutional and corporate customers. On-going/ad hoc advisory support may also be provided on a retainer basis,Service Domain,,,,,,,,,,,
Corporate Tax Advisory,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Advisory Services,Provide corporate customers with tax related advice to better understand tax obligations and to identify and implement tax optimization approaches. The service is fee based and may include the use of product specialist financial advisory resources when required,Service Domain,,,,,,,,,,,
Mergers and Acquisitions Advisory,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Advisory Services,"A fee or commission based project providing advice, execution, pricing and deal coordination and placement for M&A, IPO, MBO, LBO type transactions",Service Domain,,,,,,,,,,,
Private Placement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Finance,"Private placement covers the definition, pricing, placing and all supporting actions involved for a private offering of corporate equity or debt. A private placement avoids many of the more stringent regulatory constraints of a public offering but can only be placed with accredited investors. The associated equity or debt securities issued by the corporate do not need to be registered with the regulatory authorities.",Service Domain,,,,,,,,,,,
Public Offering,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Finance,"A public offering involves the specification and packaging of corporate equity or bonds in the public markets to raise capital. This can be the initial public offering (IPO) when a private company is first taken public, and secondary/follow-on offerings to raise further capital. IPO's involve a broad range of financial analysis, auditing and regulatory approval actions. A lead bank and several underwriting banks may coordinate to underwrite the initiative. Secondary offerings can be dilutive (create additional shares) or non-dilutive (redistribute existing shares).",Service Domain,,,,,,,,,,,
eTrading Workbench,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers >> Investment Services,Operate the consumer e-trading facility (combines consumer device based application and network connectivity to the bank). This enables a customer to trade securities on their own account through the bank. A customer can initiate the execution of securities trades against their trading facility. The facility will determine and apply service/facility fees and charges as appropriate.,Service Domain,,,,,,,,,,,
Investment Account,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","The Investment Account is a facility used to maintain the non-cash holdings for a customer. It handles the deposit and withdrawal of securities and can maintain records for multiple securities/instruments. It also reflects the results of corporate actions as handled/orchestrated by the Corporate Events Service Domain (such as dividend payments, splits, etc.)",Service Domain,,,,,,,,,,,
Investment Portfolio Analysis,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers >> Investment Services,Perform scheduled and ad-hoc performance analysis on a customer's investment portfolio. This can include different types of analysis and performance comparisons,Service Domain,,,,,,,,,,,
Investment Portfolio Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers >> Investment Services,Orchestrate the investment/ rebalancing of an investment portfolio to optimize gains remaining within the terms of the portfolio 'charter' or agreement,Service Domain,,,,,,,,,,,
Investment Portfolio Planning,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers >> Investment Services,"Agree the customer investment portfolio governing principles, risk appetite, management/trading guidelines and target portfolio profile. Identify any desired/target and 'out of bounds' securities/sectors. Ensure disclosures and related eligibility, suitability and other regulatory obligations are addressed and reflected in the agreement",Service Domain,,,,,,,,,,,
Consumer Loan,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The consumer loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at consumer customer and may be associated with a type of product and may or may not be secured by collateral.,Service Domain,,,,,,,,,,,
Corporate Current Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"The Corporate Current Account is a financial facility that represents the general checking account facility at the core of corporate banking activity. There is a range of supporting features that make up the standard facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc.). The fulfillment can include a range of optional services, fees and interest payments and penalties and will often be bundled and or underlie/support other financial facilities and financial transactions",Service Domain,,,,,,,,,,,
Corporate Lease,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The Service Domain provides the financing support to support corporate customers with leasing arrangements for property and equipment. The bank will take a collateral interest in the leased items to underwrite the associated loan(s),Service Domain,,,,,,,,,,,
Corporate Loan,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The corporate loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at corporate customers and may be associated with a type of product and may or may not be secured by collateral.,Service Domain,,,,,,,,,,,
Current Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Consumer Banking,"The Current Account or Demand Deposit Account as it can be called is a financial facility that represents the general checking account facility at the core of the consumer and small business banking activity. There is a range of supporting features that make up the standard facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc.). The fulfillment can include a range of optional services, fees and interest payments and penalties and will often be bundled and or underlie/support other financial facilities and financial transactions",Service Domain,,,,,,,,,,,
Fiduciary Agreement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,Fulfillment of an arrangement (such as investment management of a trust fund) on behalf of a customer where the banks acts their trusted proxy and acts in compliance with the specific terms of the fiduciary arrangement,Service Domain,,,,,,,,,,,
Leasing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The Service Domain fulfills a general leasing arrangement for a single leased product or facility. The bank will take a collateral interest in the leased item to underwrite the associated loan/lease arrangement,Service Domain,,,,,,,,,,,
Loan,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The loan product represents a generic loan capability that may include different properties/features depending on a bank's preferences and policies. The loan may or may not be secured by collateral.,Service Domain,,,,,,,,,,,
Merchandising Loan,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,The service domain handles loan fulfillment intended for the purchase of a larger merchandise item such as a car or boat. The item is usually administered as collateral for the loan and the origination and subsequent processing of the loan can include coordination with the merchant for some elements of fulfillment.,Service Domain,,,,,,,,,,,
Mortgage Loan,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,"The service domain handles the fulfillment of a loan product intended for the purchase of a property. Title to the property is usually administered as collateral for the mortgage loan. Note several different financial arrangements can be supported (interest only, variable rate, repayment). Furthermore the administration of the collateral is delegated to the Collateral Administration Service Domain and overseen by this Service Domain",Service Domain,,,,,,,,,,,
Savings Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,"The savings account product may share many features with a standard bank current account (e.g. standing orders, direct debits, payments and deposit services) with some constraints/limitations. There can be restrictions on the amount and frequency of withdrawals with an associated fee/penalty structure to offset higher interest benefits. Sweep mechanisms linked to other products (current account) can also be supported.",Service Domain,,,,,,,,,,,
Standing Order,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,"Customers can issue standing orders to the bank. In most cases this is for the execution of a periodical payment, but there are other standing instructions like, sweeping balances at end of month, topping off excess funds for a current account, etc. All Standing Orders have a certain periodicity. The Standing Order Service Domain is responsible for generating payment orders on each due date.",Service Domain,,,,,,,,,,,
Term Deposit,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,"A Term Deposit is an interest bearing account into which a customer can place a fixed amount of funds for a fixed amount of time. The Service Domain handles the opening, servicing and maturity processing of a Term Deposit. Early closing of a Term Deposit may be allowed by the bank, but in that case penalty interest rates and charges may be applied.

NB In BIAN demand deposits are seen as Savings Accounts.",Service Domain,,,,,,,,,,,
Term Deposit Framework Agreement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,A term deposit framework agreement establishes a facility that enables a customer to initiate multiple term deposits in parallel and over a longer timeframe than the duration of individual term deplosits. The facility implements standard conditions that are agreed upon with the bank to provide the customer with the flexibility to initiate individual term deposits as and when they require. This arrangement also reduces the administrative time an effort required by both the customer and the bank to initiate individual term deposits.,Service Domain,,,,,,,,,,,
Virtual Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"A Virtual Account is a bank account that is defined on an underlying real account. It can receive and send payments for the underlying account while behaving towards the outside as a separate account. In a light version it does not have a balance; it can be seen as only a funnel through which funds can move into and out of the underlying account. In a more full version it can have its own balance, but all incoming and outgoing transactions will be mirrored in the underlying real account. A real account can have many Virtual Accounts defined on it.",Service Domain,,,,,,,,,,,
Corporate Action,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,"Corporate actions cover a range of activities that directly impact the share price and hence the shareholders of a company. The main types of corporate action include stock splits and reversals, dividend (both cash and stock), rights issues, mergers and acquisitions and spin-offs. This service domain handles the required processing for a customer's securities that are held in custody by the bank",Service Domain,,,,,,,,,,,
Custody Administration,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","Administer the securities scrip (paper and electronic) holdings for a custodial arrangement. This includes administering the physical movements of securities, safe storage, the processing of associated dividends and interest and securities reporting",Service Domain,,,,,,,,,,,
Financial Instrument Valuation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,"Provide securities/asset valuation services. A wide range of valuation approaches can be applied to a range of different instrument/asset types. This Service Domain implements a process by which the most appropriate valuation method is selected and applied in the context of the valuation request and the purpose of the valuation. The fundamental pricing principle is based on an analysis of the present value of expected cash flows. This calculation involves identifying the expected cash flows, determining appropriate (range of)interest rates that might discount future cash flows and calculate the current value of future cash flows applying those interest rates",Service Domain,,,,,,,,,,,
Hedge Fund Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Finance,Hedge funds group accredited investors as limited partners to the fund with the fund manager as the general partner. As investors are restricted to being accredited a hedge funds is free to make more aggressive investment decisions and can generate higher returns. Fund income combines management and performance fees,Service Domain,,,,,,,,,,,
Mutual Fund Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Finance,"Mutual funds provide an investment vehicle to general investors and as such are highly regulated and tend to focus on lower risk/return investments. Mutual funds are allowed to charge investors a management fee, but unlike hedge funds the mutual fund manager is not permitted to share in the fund's performance",Service Domain,,,,,,,,,,,
Order Allocation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,Apply appropriate rules to allocate a completed or partially completed block order across the customers placing the constituent market orders,Service Domain,,,,,,,,,,,
Securities Fails Processing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,Market trades of securities may fail at different stages in the clearing and settlement processing. This Service Domain handles the resolution of securities processing failures,Service Domain,,,,,,,,,,,
Trade and Price Reporting,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,Operate a trade reporting facility as required by applicable trading market participation rules and regulations. Capture and transmit executed trade details to the exchange in compliance with the required timeframes and operating schedules,Service Domain,,,,,,,,,,,
Trade Clearing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,The process handles the notification and agreement of trade details and confirms securities and funds are made available in the corresponding cash and securities depository systems. Note the mechanics of the confirmation process can vary significantly for different security types and market places. In all cases the goal of the clearing process is to confirm and notify the transaction details to all interested parties to ensure that subsequent settlement of the transaction progresses smoothly,Service Domain,,,,,,,,,,,
Trade Confirmation Matching,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Market Operations,Trade matching and confirmation/affirmation is the process by which the broker dealer and institutional investor involved in a market trade ensure they agree all terms early in the trade process. The matching function is typically performed by a central market facility with both broker dealer and the institutional investor reporting trade details independently. The central system matches reported trades and then seeks confirmation/affirmation from the interested parties. This Service Domain supports the broker or investor role interfacing to that central market service,Service Domain,,,,,,,,,,,
Unit Trust Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Finance,Unit trusts offer a fixed term investment vehicle for bank customers with terms typically ranging from one to twenty years. Unlike many other types of investment fund the unit trust issues a fixed number of shares and is not actively managed during its term. The fund may exchange severely underperforming assets in rare cases. Investors may be able to exchange shares with other investors within the trust but the fund is essentially 'closed' to the originating investor pool for its full term,Service Domain,,,,,,,,,,,
Bank Guarantee,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Trade Banking,"Orchestrate the pricing, issuance and subsequent fulfillment activities for Bank Guarantees as used in corporate/correspondent trade and project finance activity",Service Domain,,,,,,,,,,,
Cash Concentration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"Cash Concentration is a cash management service aimed at moving a balance, or part of a balance of an account to a different account. This can be done periodically and ad-hoc. Objectives could be to zero a specific account (e.g. during each EOD) or to replenish a particular account (e.g. in case of insufficient balance for a payment order). In the latter case it is necessary to define the sequence in which balances from other accounts are moved to the destination account.",Service Domain,,,,,,,,,,,
Cash Management And Account Services,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"Cash Management and Account Services combines the capabilities of a cash management account that in itself combines features of a current account and a savings account, with additional cash management services. The supporting features that make up the facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc. can be extended to include other features such as positive pay and reverse positive pay for check processing.",Service Domain,,,,,,,,,,,
Cheque Lock Box,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,A service where the bank handles paper cheques on behalf of a corporate customer in order to expedite processing,Service Domain,,,,,,,,,,,
Corporate Payroll Services,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,The Corporate Payroll Services Service Domain processes net salary payments for corporate customers' employees. Employee and payment details are provided by the corporate and the bank coordinates payments to any employee accounts held at the bank and makes payments to other banks with the employee as the beneficiary as necessary.,Service Domain,,,,,,,,,,,
Credit Facility,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"The Credit Facility Service Domain manages the Credit Facilities that a Corporate Customer has with the bank. A Credit Facility is an agreement between the bank and a (corporate) customer to allow the customer to acquire asset products from the bank up to the limit of the credit facility without the need for a full due diligence and underwriting for each of these products. Credit Facilities can have a hierarchy and they come under the overall Credit Limit for the customer, which is the bank-internal maximum credit exposure that the bank is willing to have with the customer.",Service Domain,,,,,,,,,,,
Credit Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Credit Risk,This service domain supports a central bank credit management function that maintains an overarching credit perspective across all bank activity. Transactions can be re-priced to factor in this credit perspective,Service Domain,,,,,,,,,,,
Direct Debit,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,This service domain processes the creditor side of direct debit processing. Typically a creditor will submit a batch of direct debit requests. The process checks the required service mandates are in place and initiates the payment processing. It tracks payment and reports on completion or other processing issues that might arise (such as insufficient funds available).,Service Domain,,,,,,,,,,,
Direct Debit Mandate,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,Customer mandates are administered/managed that are associated with a direct debit processing facility provided for a corporate client. The individual customer mandates are registered and may be updated/amended. The mandates are referenced to confirm coverage when direct debit processing is undertaken periodically,Service Domain,,,,,,,,,,,
Factoring,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,A bank offers factoring services to buy a customers' accounts receivable at a discount to provide short term liquidity. The bank will subsequently process the accounts receivable to recover purchase costs. In cases the bank may factor portions of the accounts receivable to a specialist third party,Service Domain,,,,,,,,,,,
Letter of Credit,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Trade Banking,Orchestrate the pricing and issuance of Letters of Credit to bank customers guaranteeing their ability to pay sellers for goods that are to be delivered at some future date. Letters of Credit are mostly used to facilitate international trade. They can be single transaction or revolving and can also be transferable and so traded (this Service Domain only covers the issuance and processing of  the LoC),Service Domain,,,,,,,,,,,
Limit and Exposure Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Market Risk,Oversee corporate limits and exposures for the combined business activity,Service Domain,,,,,,,,,,,
Notional Pooling,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Corporate Banking,"Notional pooling is a mechanism for calculating interest on the combined credit and debit balances of accounts that a corporate customer chooses to cluster together, without actually transferring any funds between the accounts. It allows obtaining a single centralized liquidity position. This enables the subsidiaries to manage their cash position while the company can avoid transferring funds and the tax implications of arranging intercompany loans. Interest income and charges are calculated and distributed periodically in proportion to the local account balances. More advanced pooling arrangements may support multiple currencies",Service Domain,,,,,,,,,,,
